tour,place,prize,team
GEST The Challenge June,3,"$1,000",LGD Gaming
GEST The Challenge June,3,"$1,000",Vici Gaming
GEST The Challenge June,3,"$1,000",CIS Game
GEST The Challenge June,3,"$1,000",DT^Club
GEST The Challenge June,3,"$1,000",Arrow Gaming
GEST The Challenge June,3,"$1,000",Pokerface
GEST The Challenge June,3,"$1,000",Mineski
GEST The Challenge June,3,"$1,000",Scythe Gaming
GEST The Challenge June,3,"$1,000",Orange Esports
GEST The Challenge June,3,"$1,000",Alapets^TRIC 
GEST The Challenge June,3,"$1,000",Titan
GEST The Challenge June,3,"$1,000",TongFu
GEST The Challenge June,3,"$1,000",MiTH.Trust
CDEC New Star Challenge,1,"$9,600",Team DK
CDEC New Star Challenge,2,"$4,800",Newbee
CDEC New Star Challenge,3,"$1,600",Vici Gaming
CDEC New Star Challenge,3,"$1,600",Invictus Gaming
CDEC New Star Challenge,5,$80,LGD.CDEC
CDEC New Star Challenge,5,$80,HyperGloryTeam
CDEC New Star Challenge,7,$80,TongFu.WanZhou
CDEC New Star Challenge,7,$80,LGD Gaming
CDEC New Star Challenge,7,$80,DT^Club
CDEC New Star Challenge,10,$80,Happyboys
CDEC New Star Challenge,11,$80,WDL.u5
CDEC New Star Challenge,11,$80,Speed Gaming.cn
Korea Dota League Season 2 - Tier 1,1,"$21,714",MVP Phoenix
Korea Dota League Season 2 - Tier 1,2,"$15,792",Pokerface
Korea Dota League Season 2 - Tier 1,3,"$15,792",Zephyr
Korea Dota League Season 2 - Tier 1,4,"$10,857",Rave
ECL 2014 Spring,1,"$16,104",Team DK
ECL 2014 Spring,2,"$3,221",Newbee
ECL 2014 Spring,3,"$1,610",Invictus Gaming
ECL 2014 Spring,3,"$1,610",Vici Gaming
ECL 2014 Spring,3,"$1,610",LGD Gaming
ECL 2014 Spring,3,"$1,610",HyperGloryTeam
ECL 2014 Spring,3,"$1,610",CNB.cn
ECL 2014 Spring,3,"$1,610",New Element
ECL 2014 Spring,3,"$1,610",Speed Gaming.cn
ECL 2014 Spring,3,"$1,610",DT^Club
ECL 2014 Spring,3,"$1,610",CIS Game
ECL 2014 Spring,3,"$1,610",TongFu.WanZhou
American Dota League Season 2,1,"$6,000",mousesports
American Dota League Season 2,2,"$2,000",Team Liquid
American Dota League Season 2,3,"$1,000",Na`Vi North America
American Dota League Season 2,3,"$1,000",Sneaky Nyx Assassins
American Dota League Season 2,3,"$1,000",Shadows of the Past
American Dota League Season 2,3,"$1,000",Team eHug
American Dota League Season 2,3,"$1,000",Revenge eSports
American Dota League Season 2,3,"$1,000",Top5
American Dota League Season 2,3,"$1,000",No Earthspirit
American Dota League Season 2,3,"$1,000",Osiris Gaming
American Dota League Season 2,3,"$1,000",Union Gaming
American Dota League Season 2,3,"$1,000",Isurus Gaming
American Dota League Season 2,3,"$1,000",CNB e-Sports Club
Techlabs Cup 2014 Season 2,1,"$5,000",Power Rangers
Techlabs Cup 2014 Season 2,2,"$3,000",Virtus.pro
Techlabs Cup 2014 Season 2,3,"$1,000",DreamTeam168
Techlabs Cup 2014 Season 2,3,"$1,000",Relax
WVW National Electronic Sports Classic/April,1,"$5,432",HyperGloryTeam
WVW National Electronic Sports Classic/April,2,"$1,278",Vici Gaming
WVW National Electronic Sports Classic/April,3,$399,TongFu.WanZhou
WVW National Electronic Sports Classic/April,3,$399,Talent.cn
WVW National Electronic Sports Classic/April,5,$240,LGD Gaming
WVW National Electronic Sports Classic/April,5,$240,Orenda
WVW National Electronic Sports Classic/April,5,$240,Newbee
WVW National Electronic Sports Classic/April,5,$240,TI9 Champion
WVW National Electronic Sports Classic/April,9,$159,DT^Club
WVW National Electronic Sports Classic/April,9,$159,New Element
WVW National Electronic Sports Classic/April,9,$159,Onmb
WVW National Electronic Sports Classic/April,9,$159,BLHH
WVW National Electronic Sports Classic/April,9,$159,CIS Game
WVW National Electronic Sports Classic/April,9,$159,Invictus Gaming
WVW National Electronic Sports Classic/April,9,$159,ABCBA
WVW National Electronic Sports Classic/April,9,$159,Paa.cn
DreamHack Bucharest Invitational,1,"$15,300",Alliance
DreamHack Bucharest Invitational,2,"$8,700",Cloud9
DreamHack Bucharest Invitational,3,"$6,200",Fluffy Bears
DreamHack Bucharest Invitational,4,$600,Fnatic
Fragbite Masters 2014,1,"$17,000",RoX.KIS
Fragbite Masters 2014,2,"$7,800",Monomaniac
Fragbite Masters 2014,3,"$3,000",Fnatic
Fragbite Masters 2014,3,"$3,000",Team Empire
Fragbite Masters 2014,3,"$3,000",Turtle Masters
Fragbite Masters 2014,3,"$3,000",Power Rangers
Fragbite Masters 2014,3,"$3,000",4 Friends + Chrillee
Fragbite Masters 2014,3,"$3,000",Team Liquid
Fragbite Masters 2014,3,"$3,000",Team Dog
Fragbite Masters 2014,3,"$3,000",NEXT.kz
Fragbite Masters 2014,3,"$3,000",Vast Cast
Fragbite Masters 2014,3,"$3,000",tRICKED eSport
Fragbite Masters 2014,3,"$3,000",Meet Your Makers
Fragbite Masters 2014,3,"$3,000",Sigma.int
MLG T.K.O. Europe,1,"$14,000",Fnatic
MLG T.K.O. Europe,2,"$8,500",Team Empire
MLG T.K.O. Europe,3,"$4,500",RoX.KIS
MLG T.K.O. Europe,4,"$1,500",Power Rangers
MLG T.K.O. Europe,4,"$1,500",Natus Vincere
MLG T.K.O. Europe,4,"$1,500",Sigma.int
MLG T.K.O. Europe,4,"$1,500",NEXT.kz
MLG T.K.O. Europe,4,"$1,500",Virtus.pro
Korean Dota League,1,"$14,490",Zephyr
Korean Dota League,1,"$14,490",MVP Phoenix
MLG T.K.O. America,1,"$14,000",Evil Geniuses
MLG T.K.O. America,2,"$8,500",Team Liquid
MLG T.K.O. America,3,"$4,500",Cloud9
MLG T.K.O. America,4,"$1,500",Team eHug
MLG T.K.O. America,4,"$1,500",Revenge eSports
MLG T.K.O. America,4,"$1,500",Denial eSports
MLG T.K.O. America,4,"$1,500",Swagenteiger
MLG T.K.O. America,4,"$1,500",Pool Sorcery Some Tangoes
Techlabs Cup 2014 Season 1,1,"$10,000",Team Empire
Techlabs Cup 2014 Season 1,2,"$5,000",NEXT.kz
Techlabs Cup 2014 Season 1,3,"$3,000",RoX.KIS
Techlabs Cup 2014 Season 1,4,"$2,000",Virtus.pro
XMG Captains Draft Invitational,1,"$19,300",Fnatic
XMG Captains Draft Invitational,2,"$9,650",Natus Vincere
XMG Captains Draft Invitational,3,"$4,825",Sigma.int
XMG Captains Draft Invitational,3,"$4,825",Alliance
XMG Captains Draft Invitational,3,"$4,825",Team Liquid
XMG Captains Draft Invitational,3,"$4,825",RoX.KIS
Netolic Pro League #5 East,1,"$8,100",Invictus Gaming
Netolic Pro League #5 East,2,"$1,600",LGD Gaming
Netolic Pro League #5 East,3,$800,Vici Gaming
Netolic Pro League #5 East,3,$800,Newbee
Netolic Pro League #5 East,3,$800,CNB.cn
Netolic Pro League #5 East,3,$800,Titan
Netolic Pro League #5 East,3,$800,Arrow Gaming
Netolic Pro League #5 East,3,$800,Scythe Gaming
Korean Dota League - Tier 1,1,"$49,266",Zephyr
Korean Dota League - Tier 1,2,"$20,160",MVP Phoenix
Korean Dota League - Tier 1,3,"$4,800",Bird Gang
Korean Dota League - Tier 1,4,"$4,800",5 in QO
Monster Energy Invitational,1,"$10,000",Evil Geniuses
Monster Energy Invitational,2,"$3,000",Cloud9
Monster Energy Invitational,3,"$2,000",Team Liquid
Monster Energy Invitational,3,"$2,000",Team eHug
Sina Cup Supernova Dota 2 Open/Season 3,1,"$9,798",Team DK
Sina Cup Supernova Dota 2 Open/Season 3,2,"$3,266",Vici Gaming
Sina Cup Supernova Dota 2 Open/Season 3,3,"$1,633",DT^Club
Sina Cup Supernova Dota 2 Open/Season 3,3,"$1,633",LGD Gaming
Sina Cup Supernova Dota 2 Open/Season 3,3,"$1,633",Invictus Gaming
Sina Cup Supernova Dota 2 Open/Season 3,3,"$1,633",CIS Game
Sina Cup Supernova Dota 2 Open/Season 3,3,"$1,633",Titan
Sina Cup Supernova Dota 2 Open/Season 3,3,"$1,633",CNB.cn
Sina Cup Supernova Dota 2 Open/Season 3,3,"$1,633",No8 Network
Sina Cup Supernova Dota 2 Open/Season 3,3,"$1,633",New Element
Sina Cup Supernova Dota 2 Open/Season 3,3,"$1,633",Heart Get Together
Sina Cup Supernova Dota 2 Open/Season 3,3,"$1,633",Newbee
Electronic Sports Prime Shock Therapy Cup,1,"$7,000",S A D B O Y S
Electronic Sports Prime Shock Therapy Cup,2,"$2,000",Team Empire
Electronic Sports Prime Shock Therapy Cup,3,"$1,000",Team Liquid
Electronic Sports Prime Shock Therapy Cup,3,"$1,000",Speed Gaming.int
Electronic Sports Prime Shock Therapy Cup,3,"$1,000",Team eHug
Electronic Sports Prime Shock Therapy Cup,3,"$1,000",Fnatic
Electronic Sports Prime Shock Therapy Cup,3,"$1,000",RoX.KIS
Electronic Sports Prime Shock Therapy Cup,3,"$1,000",Sigma.int
Pinnacle Sports Pro-Am,1,"$10,250",Sigma.int
Pinnacle Sports Pro-Am,2,"$3,400",RoX.KIS
Pinnacle Sports Pro-Am,2,"$3,400",Fnatic
Pinnacle Sports Pro-Am,2,"$3,400",Pretty Boy Swag
Pinnacle Sports Pro-Am,2,"$3,400",NEXT.kz
Pinnacle Sports Pro-Am,2,"$3,400",Team Empire
Pinnacle Sports Pro-Am,2,"$3,400",Revenge eSports
Pinnacle Sports Pro-Am,2,"$3,400",Team Liquid
Pinnacle Sports Pro-Am,2,"$3,400",Oslik Gaming
Pinnacle Sports Pro-Am,2,"$3,400",mousesports
Pinnacle Sports Pro-Am,2,"$3,400",Relax
Pinnacle Sports Pro-Am,2,"$3,400",Power Rangers
Pinnacle Sports Pro-Am,2,"$3,400",Speed Gaming.int
Pinnacle Sports Pro-Am,2,"$3,400",4 Clover & Lepricon
Pinnacle Sports Pro-Am,2,"$3,400",hehe united
Pinnacle Sports Pro-Am,2,"$3,400",sQreen's Squad
Asian Cyber Games,1,"$15,000",Titan
Asian Cyber Games,2,"$9,000",Mineski
Asian Cyber Games,3,"$6,000",MiTH.Trust
Asian Cyber Games,3,"$6,000",StarTale
Asian Cyber Games,3,"$6,000",Rex Regum Qeon
Asian Cyber Games,3,"$6,000",First Departure
Asian Cyber Games,3,"$6,000",Spirit Gaming
Asian Cyber Games,3,"$6,000",Oblique Gaming
Asian Cyber Games,3,"$6,000",Team RevivaL
Fengyun Dota 2 Tournament,1,"$9,893",Team DK
Fengyun Dota 2 Tournament,2,"$2,473",TongFu
Fengyun Dota 2 Tournament,3,$824,Invictus Gaming
Fengyun Dota 2 Tournament,3,$824,LGD Gaming
Fengyun Dota 2 Tournament,3,$824,Vici Gaming
Fengyun Dota 2 Tournament,3,$824,DT^Club
Fengyun Dota 2 Tournament,3,$824,Titan
Fengyun Dota 2 Tournament,3,$824,Speed Gaming.int
Fengyun Dota 2 Tournament,3,$824,TongFu.WanZhou
Fengyun Dota 2 Tournament,3,$824,First Departure
Fengyun Dota 2 Tournament,3,$824,New Element
Fengyun Dota 2 Tournament,3,$824,MVP Phoenix
Fengyun Dota 2 Tournament,3,$824,StarTale
Fengyun Dota 2 Tournament,3,$824,Heart Get Together
Fengyun Dota 2 Tournament,3,$824,For.Love
Fengyun Dota 2 Tournament,3,$824,Team Subvert
Fragbite Masters 2013,1,"$15,205",Alliance
Fragbite Masters 2013,2,"$7,603",Fnatic
Fragbite Masters 2013,3,"$2,129",Power Rangers
Fragbite Masters 2013,3,"$2,129",WARMAKER
Fragbite Masters 2013,5,$836,MCCBT Kawaii
Fragbite Masters 2013,5,$836,Super Strong Dinosaurs
Fragbite Masters 2013,5,$836,4 Friends + Chrillee
Fragbite Masters 2013,5,$836,Ahead Gaming
Fragbite Masters 2013,5,$836,hehe united
Fragbite Masters 2013,5,$836,Speed Gaming.int
Fragbite Masters 2013,5,$836,mousesports
Fragbite Masters 2013,5,$836,QPAD Red Pandas
Fragbite Masters 2013,5,$836,Sigma.fr
Fragbite Masters 2013,5,$836,Terrible Terrible Damage
Fragbite Masters 2013,5,$836,Stay Free
Fragbite Masters 2013,5,$836,Virtus.pro
Fragbite Masters 2013,5,$836,Cede Nullis
Fragbite Masters 2013,5,$836,UrsaStroitHramm
Fragbite Masters 2013,5,$836,Duza Gaming
Fragbite Masters 2013,5,$836,Evil Geniuses
Fragbite Masters 2013,5,$836,SaftKalasPojkarna
Fragbite Masters 2013,5,$836,Gabe pls
Fragbite Masters 2013,5,$836,Team Property
Fragbite Masters 2013,5,$836,Fiskestanga
Fragbite Masters 2013,5,$836,Team Menace.fi
Fragbite Masters 2013,5,$836,No Big Deal
Fragbite Masters 2013,5,$836,Turtle Masters
Fragbite Masters 2013,5,$836,Sigma.int
Fragbite Masters 2013,5,$836,RoX.KIS
Fragbite Masters 2013,5,$836,Team Gillette
Fragbite Masters 2013,5,$836,youBoat
Fragbite Masters 2013,5,$836,Team Dignitas
Netolic Pro League #4 West,1,"$6,000",Fnatic
Netolic Pro League #4 West,2,"$3,000",RoX.KIS
Netolic Pro League #4 West,3,"$1,000",mousesports
Netolic Pro League #4 West,3,"$1,000",Super Strong Dinosaurs
Netolic Pro League #4 West,3,"$1,000",Virtus.pro
Netolic Pro League #4 West,3,"$1,000",Team Empire
Netolic Pro League #4 West,3,"$1,000",Revenge eSports
Netolic Pro League #4 West,3,"$1,000",Evil Geniuses
Rapture Gaming Network League 2013/2014,1,"$8,000",First Departure
Rapture Gaming Network League 2013/2014,2,"$2,400",Mineski
Rapture Gaming Network League 2013/2014,3,"$1,600",Orange Esports
Rapture Gaming Network League 2013/2014,4,$800,MiTH.Trust
Rapture Gaming Network League 2013/2014,5,$400,Team Impervious
Rapture Gaming Network League 2013/2014,6,$400,Titan
Rapture Gaming Network League 2013/2014,7,$400,Awake
Rapture Gaming Network League 2013/2014,8,$400,RisingStars
Rapture Gaming Network League 2013/2014,9,$400,RattleSnake
Rapture Gaming Network League 2013/2014,10,$400,Team Zenith
Sina Cup Supernova Dota 2 Open/Season 2,1,"$8,208",Vici Gaming
Sina Cup Supernova Dota 2 Open/Season 2,2,"$1,642",LGD Gaming
Sina Cup Supernova Dota 2 Open/Season 2,3,$821,Invictus Gaming
Sina Cup Supernova Dota 2 Open/Season 2,3,$821,Team DK
Sina Cup Supernova Dota 2 Open/Season 2,3,$821,LGD International
Sina Cup Supernova Dota 2 Open/Season 2,3,$821,For.Love
Sina Cup Supernova Dota 2 Open/Season 2,3,$821,TongFu
Sina Cup Supernova Dota 2 Open/Season 2,3,$821,Heart Get Together
Sina Cup Supernova Dota 2 Open/Season 2,3,$821,DT^Club
Sina Cup Supernova Dota 2 Open/Season 2,3,$821,TongFu.WanZhou
Sina Cup Supernova Dota 2 Open/Season 2,3,$821,New Element
Sina Cup Supernova Dota 2 Open/Season 2,3,$821,Titan
MLG Fall Invitational,1,"$10,000",Team Dignitas
MLG Fall Invitational,2,"$5,000",Typical Mistakes
MLG Fall Invitational,2,"$5,000",The Joikernaught
MLG Fall Invitational,2,"$5,000",noM
Techlabs Cup 2013 Season 3,1,"$8,000",Natus Vincere
Techlabs Cup 2013 Season 3,2,"$4,000",Power Rangers
Techlabs Cup 2013 Season 3,3,"$2,000",Al'met
Techlabs Cup 2013 Season 3,4,"$1,000",DD.Dota
Sina Cup Supernova Dota 2 Open/Season 1,1,"$2,940",Invictus Gaming
Sina Cup Supernova Dota 2 Open/Season 1,2,$980,TongFu
Sina Cup Supernova Dota 2 Open/Season 1,3,$490,LGD Gaming
Sina Cup Supernova Dota 2 Open/Season 1,3,$490,Vici Gaming
Sina Cup Supernova Dota 2 Open/Season 1,3,$490,OguraYui 
Sina Cup Supernova Dota 2 Open/Season 1,3,$490,Mineski
Sina Cup Supernova Dota 2 Open/Season 1,3,$490,RattleSnake
Sina Cup Supernova Dota 2 Open/Season 1,3,$490,New Element
Techlabs Cup 2013 Season 2,1,"$5,000",Terrible Terrible Damage
Techlabs Cup 2013 Season 2,2,"$3,000",Power Rangers
Techlabs Cup 2013 Season 2,3,"$1,500",RoX.KIS
Techlabs Cup 2013 Season 2,4,$500,Cascade
Corsair Gaming Summer Tournament 2013,1,"$6,000",mousesports
Corsair Gaming Summer Tournament 2013,2,"$2,500",Virtus.pro
Corsair Gaming Summer Tournament 2013,3,"$1,500",Fnatic
Corsair Gaming Summer Tournament 2013,3,"$1,500",iCCup
Corsair Gaming Summer Tournament 2013,3,"$1,500",Evil Geniuses
Corsair Gaming Summer Tournament 2013,3,"$1,500",Kaipi
Corsair Gaming Summer Tournament 2013,3,"$1,500",Team Dignitas
Corsair Gaming Summer Tournament 2013,3,"$1,500",Team Empire
Corsair Gaming Summer Tournament 2013,3,"$1,500",RoX.KIS
Corsair Gaming Summer Tournament 2013,3,"$1,500",TCM-Gaming
Corsair Gaming Summer Tournament 2013,3,"$1,500",4 Friends + Chrillee
Corsair Gaming Summer Tournament 2013,3,"$1,500",Flipsid3 Tactics
Corsair Gaming Summer Tournament 2013,3,"$1,500",NEXT.kz
Corsair Gaming Summer Tournament 2013,3,"$1,500",uebelst gamynG
Corsair Gaming Summer Tournament 2013,3,"$1,500",Denial eSports
Corsair Gaming Summer Tournament 2013,3,"$1,500",Keita Gaming
AMD Premier League Season 2,1,"$3,000",Orange Esports
AMD Premier League Season 2,2,"$1,500",Vici Gaming
AMD Premier League Season 2,3,$500,RattleSnake
AMD Premier League Season 2,3,$500,Team Zenith
AMD Premier League Season 2,3,$500,Mineski
AMD Premier League Season 2,3,$500,Netolic Gaming
AMD Premier League Season 2,3,$500,MUFC
AMD Premier League Season 2,3,$500,MiTH.Trust
AMD Premier League Season 2,3,$500,1st.VN
AMD Premier League Season 2,3,$500,Esports-MuXi
AMD Premier League Season 2,3,$500,Gizmo Gaming
AMD Premier League Season 2,3,$500,RisingStars
AMD Premier League Season 2,3,$500,Tell Me Why
AMD Premier League Season 2,3,$500,JoeNet
AMD Premier League Season 2,3,$500,NeoES.G7
AMD Premier League Season 2,3,$500,FXOpen e-Sports
Nexon Starter League,1,"$8,600",FXOpen e-Sports
Nexon Starter League,2,"$4,300",Eyes of Tiger
Nexon Starter League,3,"$1,700",Bird Gang
Nexon Starter League,3,"$1,700",Kellogg TigerPower
Nexon Starter League,5,$865,Symphony 
Nexon Starter League,5,$865,DCruX  
Nexon Starter League,5,$865,Best Magic Skill 
Nexon Starter League,5,$865,Desert Eagle 
American Dota League Season 1,1,"$5,000",Team Liquid
American Dota League Season 1,2,"$3,000",Evil Geniuses
American Dota League Season 1,3,"$2,000",Denial eSports
American Dota League Season 1,3,"$2,000",Team Dignitas
American Dota League Season 1,3,"$2,000",Typical Mistakes
American Dota League Season 1,3,"$2,000",Smeagol
American Dota League Season 1,3,"$2,000",paiN Gaming.int
American Dota League Season 1,3,"$2,000",paiN Gaming
American Dota League Season 1,3,"$2,000",Insight eSports
E2MAX L33t Championship,1,"$8,000",Team Zenith
E2MAX L33t Championship,2,"$1,600",Orange Esports
E2MAX L33t Championship,3,$800,MiTH.Trust
E2MAX L33t Championship,3,$800,JoeNet
Curse Dota 2 Invitational,1,"$5,000",Team Liquid
Curse Dota 2 Invitational,2,"$3,000",Team Dignitas
Curse Dota 2 Invitational,3,"$2,000",RoX.KIS
Curse Dota 2 Invitational,3,"$2,000",Evil Geniuses
Curse Dota 2 Invitational,3,"$2,000",mousesports
Curse Dota 2 Invitational,3,"$2,000",Team Empire
Curse Dota 2 Invitational,3,"$2,000",QPAD Red Pandas
Curse Dota 2 Invitational,3,"$2,000",Natus Vincere
AMD Premier League Season 1,1,"$3,000",TongFu
AMD Premier League Season 1,2,"$1,500",Team Zenith
AMD Premier League Season 1,3,$500,MUFC
AMD Premier League Season 1,3,$500,RisingStars
AMD Premier League Season 1,3,$500,Orange Esports
AMD Premier League Season 1,3,$500,MiTH.Trust
AMD Premier League Season 1,3,$500,RattleSnake
AMD Premier League Season 1,3,$500,Mineski
AMD Premier League Season 1,3,$500,Sunny side up
AMD Premier League Season 1,3,$500,First Departure
AMD Premier League Season 1,3,$500,Invasion e-Sports
AMD Premier League Season 1,3,$500,JoeNet
AMD Premier League Season 1,3,$500,Netolic.sg 
AMD Premier League Season 1,3,$500,Neolution International
AMD Premier League Season 1,3,$500,TNC Pro Team
AMD Premier League Season 1,3,$500,Vici Gaming
AMD Premier League Season 1,3,$500,Gameware
AMD Premier League Season 1,3,$500,Malay AllStars
AMD Premier League Season 1,3,$500,AkmA
AMD Premier League Season 1,3,$500,Tell Me Why
WePlay Dota2 League Season 1,1,"$5,000",Alliance
WePlay Dota2 League Season 1,2,"$2,500",Evil Geniuses
WePlay Dota2 League Season 1,3,"$1,200",Natus Vincere
WePlay Dota2 League Season 1,3,"$1,200",Team Liquid
WePlay Dota2 League Season 1,3,"$1,200",Team Dignitas
WePlay Dota2 League Season 1,3,"$1,200",mousesports
WePlay Dota2 League Season 1,3,"$1,200",QPAD Red Pandas
WePlay Dota2 League Season 1,3,"$1,200",Fnatic.EU
WePlay Dota2 League Season 1,3,"$1,200",Artyk Gaming
WePlay Dota2 League Season 1,3,"$1,200",RoX.KIS
WePlay Dota2 League Season 1,3,"$1,200",QPAD Red Pandas
WePlay Dota2 League Season 1,3,"$1,200",Keita Gaming
WePlay Dota2 League Season 1,3,"$1,200",4 Friends + Chrillee
WePlay Dota2 League Season 1,3,"$1,200",TCM-Gaming
WePlay Dota2 League Season 1,3,"$1,200",Team Empire
WePlay Dota2 League Season 1,3,"$1,200",Fnatic.NA
WePlay Dota2 League Season 1,3,"$1,200",Imperium Gamers
WePlay Dota2 League Season 1,3,"$1,200",Absolute Legends
WePlay Dota2 League Season 1,3,"$1,200",aL.Academy
WePlay Dota2 League Season 1,3,"$1,200",The Retry
WePlay Dota2 League Season 1,3,"$1,200",Isurus Gaming
WePlay Dota2 League Season 1,3,"$1,200",Skill Difference
WePlay Dota2 League Season 1,3,"$1,200",3DMAX
WePlay Dota2 League Season 1,3,"$1,200",Aurochs
WePlay Dota2 League Season 1,3,"$1,200",Eosin + 4
WePlay Dota2 League Season 1,3,"$1,200",iCCup
WePlay Dota2 League Season 1,3,"$1,200",NEXT.kz
WePlay Dota2 League Season 1,3,"$1,200",Lions Pride
WePlay Dota2 League Season 1,3,"$1,200",rat in the dark
WePlay Dota2 League Season 1,3,"$1,200",ROOT Gaming
WePlay Dota2 League Season 1,3,"$1,200",Netolic Gaming
WePlay Dota2 League Season 1,3,"$1,200",DuSt Gaming
DreamHack Dota 2 Invitational,1,"$2,500",Alliance
DreamHack Dota 2 Invitational,2,"$1,500",Team Dignitas
DreamHack Dota 2 Invitational,3,"$1,000",Team Liquid
DreamHack Dota 2 Invitational,3,"$1,000",Fnatic.EU
DreamHack Dota 2 Invitational,3,"$1,000",Team Empire
DreamHack Dota 2 Invitational,3,"$1,000",QPAD Red Pandas
DreamHack Dota 2 Invitational,3,"$1,000",Virtus.pro
DreamHack Dota 2 Invitational,3,"$1,000",mousesports
Ritmix Russian DOTA 2 League,1,"$4,000",Team Dignitas
Ritmix Russian DOTA 2 League,2,"$1,500",Virtus.pro
Ritmix Russian DOTA 2 League,3,$500,No Tidehunter
Ritmix Russian DOTA 2 League,3,$500,Team Liquid
Ritmix Russian DOTA 2 League,3,$500,Team Empire
Ritmix Russian DOTA 2 League,3,$500,mousesports
Ritmix Russian DOTA 2 League,3,$500,Fnatic.EU
Ritmix Russian DOTA 2 League,3,$500,RoX.KIS
Techlabs Cup 2013 Season 1,1,"$5,000",Team Empire
Techlabs Cup 2013 Season 1,2,"$3,000",iCCup
Techlabs Cup 2013 Season 1,3,"$1,500",Natus Vincere
Techlabs Cup 2013 Season 1,4,$500,Virtus.pro
Armaggeddon Dota 2 Grand Slam Asia 2013,1,"$5,000",Apple Banana Cucumber
Armaggeddon Dota 2 Grand Slam Asia 2013,2,"$2,000",First Departure
Armaggeddon Dota 2 Grand Slam Asia 2013,3,"$1,000",Awake
Armaggeddon Dota 2 Grand Slam Asia 2013,3,"$1,000",Pacific eSports
Armaggeddon Dota 2 Grand Slam Asia 2013,3,"$1,000",TLer ReborN 
Armaggeddon Dota 2 Grand Slam Asia 2013,3,"$1,000",Harrosh
Armaggeddon Dota 2 Grand Slam Asia 2013,3,"$1,000",Gizmo Gaming
Armaggeddon Dota 2 Grand Slam Asia 2013,3,"$1,000",Gangster.Blaque
Armaggeddon Dota 2 Grand Slam Asia 2013,3,"$1,000",Neolution Indonesia
Armaggeddon Dota 2 Grand Slam Asia 2013,3,"$1,000",The Kade 
Armaggeddon Dota 2 Grand Slam Asia 2013,3,"$1,000",Genuineness of Geeks
Armaggeddon Dota 2 Grand Slam Asia 2013,3,"$1,000",Gameware
GosuLeague Season 5 Division 1,1,"$2,500",Natus Vincere
GosuLeague Season 5 Division 1,2,"$1,500",Team Empire
GosuLeague Season 5 Division 1,3,"$1,000",NEXT.kz
GosuLeague Season 5 Division 1,3,"$1,000",mousesports
GosuLeague Season 5 Division 1,3,"$1,000",Svenhunterz
GosuLeague Season 5 Division 1,3,"$1,000",Kaipi
GosuLeague Season 5 Division 1,3,"$1,000",Pulse eSports
GosuLeague Season 5 Division 1,3,"$1,000",DD.Dota
GosuLeague Season 4 Division 1,1,"$2,500",Natus Vincere
GosuLeague Season 4 Division 1,2,"$1,500",Kaipi
GosuLeague Season 4 Division 1,3,"$1,000",mousesports
GosuLeague Season 4 Division 1,3,"$1,000",GamersLeague
GosuLeague Season 4 Division 1,3,"$1,000",Meet Your Makers
GosuLeague Season 4 Division 1,3,"$1,000",NEXT.kz
GosuLeague Season 4 Division 1,3,"$1,000",Team Shakira
GosuLeague Season 4 Division 1,3,"$1,000",Darer
Alienware 2012 Battlegrounds,1,"$1,500",Orange Esports
Alienware 2012 Battlegrounds,2,"$1,000",MUFC
Alienware 2012 Battlegrounds,3,$500,Team Zenith
Alienware 2012 Battlegrounds,3,$500,Flash eSports
WCG Asia 2012,1,"$3,000",Orange Esports
WCG Asia 2012,2,"$2,000",MiTH.Trust
WCG Asia 2012,3,"$1,000",AMPM.WONOSOBO 
WCG Asia 2012,3,"$1,000",Mineski
WCG Asia 2012,3,"$1,000",LoF
WCG Asia 2012,3,"$1,000",Veil
WCG Asia 2012,3,"$1,000",1st.VN
Samsung European Encounter,1,"$3,694",We haz Asian
Samsung European Encounter,2,"$2,463",Copenhagen Wolves
Samsung European Encounter,3,"$1,231",Mortal Teamwork
Samsung European Encounter,3,"$1,231",Team Infused
Samsung European Encounter,3,"$1,231",Storm Games Clan
Samsung European Encounter,3,"$1,231",uebelst gamynG
Samsung European Encounter,3,"$1,231",eEriness
Samsung European Encounter,3,"$1,231",Maggie's Farm
ProDOTA2 Non-Pro League Season 1,1,"$5,000",Mortal Teamwork
ProDOTA2 Non-Pro League Season 1,2,"$3,000",paiN Gaming
ProDOTA2 Non-Pro League Season 1,3,"$2,000",NEXT.kz
ProDOTA2 Non-Pro League Season 1,3,"$2,000",Storm Games Clan
ProDOTA2 Non-Pro League Season 1,3,"$2,000",ECeS 
ProDOTA2 Non-Pro League Season 1,3,"$2,000",Duskbin
ProDOTA2 Non-Pro League Season 1,3,"$2,000",Harrosh
ProDOTA2 Non-Pro League Season 1,3,"$2,000",AEONSports
GosuLeague Season 3,1,"$2,500",mousesports
GosuLeague Season 3,2,"$1,500",Darer
GosuLeague Season 3,3,"$1,000",GamersLeague
GosuLeague Season 3,3,"$1,000",Mortal Teamwork
GosuLeague Season 3,3,"$1,000",Copenhagen Wolves
GosuLeague Season 3,3,"$1,000",NEXT.kz
GosuLeague Season 3,3,"$1,000",Ben's Fuck Buddies
GosuLeague Season 3,3,"$1,000",Moscow Five
GosuLeague Season 2,1,"$2,000",Mortal Teamwork
GosuLeague Season 2,2,"$1,000",mousesports
